             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     9026.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  June 25  *  188.6         0.0         57.6       131.0       0.0     0.0      188.6       204.7        175.0           47185.1
  June 24  *  195.3         0.0         59.1       136.2       0.0     0.0      195.3       208.0        167.1           46811.7
  June 23  *  210.4         0.0         61.2       149.2       0.0     0.0      210.4       208.8        166.0           46425.1
  June 22  *  220.7         0.0         65.9       154.7       0.0     0.0      220.7       204.5        157.1           46008.6
  June 21  *  208.7         0.0         60.5       148.2       0.0     0.0      208.7       194.0        158.4           45571.7
  June 20  *  205.1         0.0         59.4       145.7       0.0     0.0      205.1       145.2        143.9           45158.4
  June 19  *  199.0         0.0         56.1       142.9       0.0     0.0      199.0       126.3        125.7           44752.4
  June 18  *  189.2         0.0         53.3       135.9       0.0     0.0      189.2       123.2        110.7           44358.3
  June 17  *  168.1         0.0         47.7       120.4       0.0     0.0      168.1       109.7        114.4           43983.7
  June 16  *  110.8         0.0         31.3        79.4       0.0   146.1      -35.4       122.9        119.4           43650.9
  June 15  *  198.8         0.0         55.8       143.0       0.0    88.4      110.3       142.5        143.6           43721.0
  June 14  *  199.7         0.0         55.8       143.9       0.0    16.1      183.7       125.1        156.7           43502.5
  June 13  *  212.9         0.0         59.5       153.4       0.0    91.1      121.9        98.2        161.7           43138.8
  June 12  *  233.9         0.0         62.9       170.9       0.0     0.0      233.9       119.1        167.5           42897.5
  June 11  *   63.0         0.0         59.6         3.4       0.0     0.0       63.0       115.9        168.4           42434.5
  June 10  *   59.3         0.0         56.1         3.1       0.0    36.2       23.1       144.7        186.4           42309.8
  June  9  *   59.3         0.0         56.1         3.2       0.0     9.9       49.4       188.4        208.0           42264.1
  June  8  *  227.0         0.0         59.6       167.4       0.0     0.9      226.1       225.1        226.5           42166.3
  June  7  *  229.3         0.0         61.2       168.2       0.0    11.3      218.0       215.8        226.8           41718.6
  June  6  *  240.3         0.0         62.5       177.9       0.0    33.5      206.8       220.8        226.9           41287.0
  June  5  *  241.6         0.0         62.7       178.9       0.0     0.0      241.6       228.2        229.1           40877.5
  June  4  *  233.2         0.0         58.1       175.0       0.0     0.0      233.2       227.6        229.3           40399.2
