             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    26795.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  June 24  *  346.7       248.7         68.1        29.8       0.0     0.0      346.7       352.4        259.8           47503.3
  June 23  *  355.0       255.5         69.2        30.3       0.0     0.0      355.0       346.0        257.8           46816.9
  June 22  *  370.6       266.7         72.5        31.4       0.0     0.0      370.6       335.5        257.2           46113.9
  June 21  *  346.8       248.9         68.1        29.8       0.0     0.0      346.8       317.5        256.7           45380.1
  June 20  *  343.0       246.1         67.4        29.6       0.0     0.0      343.0       172.1        256.6           44693.3
  June 19  *  314.3       228.1         59.9        26.3       0.0     0.0      314.3       167.1        255.4           44014.1
  June 18  *  302.9       219.4         58.0        25.6       0.0     0.0      302.9       169.7        258.0           43391.8
  June 17  *  280.4       202.2         54.3        23.9       0.0     0.0      280.4       178.9        262.2           42792.0
  June 16  *  231.4       166.5         44.9        19.9       0.0   611.4     -380.1       195.9        269.1           42236.9
  June 15  *  327.8       236.2         63.6        27.9       0.0    10.0      317.9       341.0        335.9           42989.4
  June 14  *  327.4       235.8         63.6        27.9       0.0     0.0      327.4       343.7        339.4           42360.0
  June 13  *  350.1       250.2         69.0        30.9       0.0     1.4      348.7       346.3        340.7           41711.7
  June 12  *  365.4       262.2         71.3        31.9       0.0     0.0      365.4       345.5        254.6           41021.3
  June 11  *  345.7       246.8         68.3        30.6       0.0     0.0      345.7       342.3        253.2           40297.9
  June 10  *  340.4       243.5         66.8        30.1       0.0     9.1      331.4       330.8        253.8           39613.5
  June  9  *  340.4       243.5         66.8        30.1       0.0     0.0      340.4       335.0        254.6           38957.4
  June  8  *  344.9       246.0         68.3        30.6       0.0     0.0      344.9       335.1        254.3           38283.5
